full_name,season,games_started,games_played,avg_turnovers,avg_steals,avg_twos_made,avg_two_twos_pct,avg_threes_made,avg_threes_pct,avg_free_throws_made,avg_free_throws_pct,avg_minutes,avg_points,avg_rebounds,avg_assists
Deon Baker,2017,31,31,0.4,0.1,0.6,25.6,0.0,0.0,0.1,6.7,3.4,1.4,0.7,0.1
Shakaris Laney,2015,29,29,0.5,0.2,0.3,0.2,0.1,5.9,0.4,7.7,5.7,1.4,0.7,0.1
Eric Bowles,2015,29,29,1.1,0.3,0.3,0.2,0.1,11.9,0.1,4.8,12.9,1.2,0.7,1.3
Cameron Reynolds,2013,34,34,0.3,0.3,0.3,16.7,0.0,0.0,0.0,0.0,12.0,0.7,0.7,0.0
PJ Savoy,2016,35,35,0.3,0.3,0.2,18.2,1.2,24.2,0.6,20.6,6.9,4.7,0.7,0.2
Trey Phills,2015,30,30,0.5,0.1,0.3,0.2,0.0,1.4,0.3,14.5,6.1,1.0,0.7,0.3
Jake Killingsworth,2017,27,27,0.4,0.0,0.2,16.7,0.6,16.7,0.0,0.0,2.2,2.2,0.7,0.0
Richmond Aririguzoh,2016,30,30,0.2,0.2,0.4,18.4,0.0,0.0,0.3,15.8,3.5,1.0,0.7,0.2
Hashim Moore,2014,30,30,0.3,0.0,0.9,0.2,0.0,0.0,0.3,9.5,4.5,2.0,0.7,0.1
Aaron Young,2015,60,60,0.5,0.3,0.5,0.2,0.7,24.2,0.7,24.8,13.1,3.7,0.7,1.0
James Reese,2017,36,36,0.4,0.3,0.4,19.4,0.3,9.5,0.5,12.4,6.3,2.2,0.7,0.6
Terry Harris,2017,35,35,0.3,0.2,0.3,20.2,0.5,17.1,0.2,3.5,8.5,2.4,0.7,0.4
Sid Tomes,2016,33,33,0.2,0.3,0.2,9.4,0.4,16.0,0.3,10.6,7.0,1.9,0.7,0.5
Devin Gilmore,2017,32,32,0.1,0.1,0.3,20.6,0.0,0.0,0.0,0.0,1.8,0.6,0.7,0.0
Keion Alexander,2016,30,30,0.4,0.3,0.3,11.1,0.0,0.0,0.2,8.3,4.1,0.7,0.7,0.1
Jamonte Graham,2013,30,30,1.0,0.0,0.7,44.4,0.0,0.0,0.0,0.0,5.7,1.3,0.7,0.0
Dillon Avare,2017,31,31,0.7,0.3,0.0,3.3,1.5,30.5,0.1,3.3,18.7,4.7,0.7,1.0
Damari Milstead,2017,34,34,1.0,0.4,0.7,33.2,0.4,27.4,1.8,43.8,8.8,4.4,0.7,1.0
